kode_wilayah,nama_wilayah,level,kode_parent
1272040005,SEI RAJA,desa,1272040
1272050,TELUK NIBUNG,kecamatan,1272
1272050001,BETING KUALA KAPIAS,desa,1272050
1272050002,KAPIAS PULAU BUAYA,desa,1272050
1272050003,SEI MERBAU,desa,1272050
1272050004,PEMATANG PASIR,desa,1272050
1272050005,PERJUANGAN,desa,1272050
1273,PEMATANGSIANTAR,kota,12
1273010,SIANTAR MARIHAT,kecamatan,1273
1273010004,SUKAMAKMUR,desa,1273010
1273010005,PARDAMEAN,desa,1273010
1273010006,SUKARAJA,desa,1273010
1273010007,BARINGIN PANCUR NAULI,desa,1273010
1273010008,SUKAMAJU,desa,1273010
1273010009,PARHORASAN NAULI,desa,1273010
1273010010,MEKAR NAULI,desa,1273010
1273011,SIANTAR MARIMBUN,kecamatan,1273
1273011001,SIMARIMBUN,desa,1273011
1273011002,NAGA HUTA,desa,1273011
1273011003,PEMATANG MARIHAT,desa,1273011
1273011004,TONG MARIMBUN,desa,1273011
1273011005,NAGA HUTA TIMUR,desa,1273011
1273011006,MARIHAT JAYA,desa,1273011
1273020,SIANTAR SELATAN,kecamatan,1273
1273020001,AEK NAULI,desa,1273020
1273020002,MARTIMBANG,desa,1273020
1273020003,KRISTEN,desa,1273020
1273020004,TOBA,desa,1273020
1273020005,KARO,desa,1273020
1273020006,SIMALUNGUN,desa,1273020
1273030,SIANTAR BARAT,kecamatan,1273
1273030001,SIPINGGOLPINGGOL,desa,1273030
1273030002,TELADAN,desa,1273030
1273030003,DWIKORA,desa,1273030
1273030004,PROKLAMASI,desa,1273030
1273030005,TIMBANG GALUNG,desa,1273030
1273030006,SIMARITO,desa,1273030
1273030007,BANJAR,desa,1273030
1273030008,BANTAN,desa,1273030
1273040,SIANTAR UTARA,kecamatan,1273
1273040001,MARTOBA,desa,1273040
1273040002,MELAYU,desa,1273040
1273040003,BARU,desa,1273040
1273040004,SUKADAME,desa,1273040
1273040005,BANE,desa,1273040
1273040006,SIGULANGGULANG,desa,1273040
1273040007,KAHEAN,desa,1273040
1273050,SIANTAR TIMUR,kecamatan,1273
1273050001,KEBUN SAYUR,desa,1273050
1273050002,TOMUAN,desa,1273050
1273050003,PAHLAWAN,desa,1273050
1273050004,SIOPAT SUHU,desa,1273050
1273050005,MERDEKA,desa,1273050
1273050006,PARDOMUAN,desa,1273050
1273050007,ASUHAN,desa,1273050
1273060,SIANTAR MARTOBA,kecamatan,1273
1273060005,SUMBER JAYA,desa,1273060
1273060006,NAGA PITA,desa,1273060
1273060007,PONDOK SAYUR,desa,1273060
1273060008,TAMBUN NABOLON,desa,1273060
1273060009,NAGA PITU,desa,1273060
1273060010,TANJUNG PINGGIR,desa,1273060
1273060011,TANJUNG TONGAH,desa,1273060
1273061,SIANTAR SITALASARI,kecamatan,1273
1273061001,BAH KAPUL,desa,1273061
1273061002,GURILLA,desa,1273061
1273061003,BUKIT SOFA,desa,1273061
1273061004,SETIA NEGARA,desa,1273061
1273061005,BAH SORMA,desa,1273061
1274,TEBING TINGGI,kota,12
1274010,PADANG HULU,kecamatan,1274
1274010001,PABATU,desa,1274010
1274010002,LUBUK BARU,desa,1274010
1274010003,PERSIAKAN,desa,1274010
1274010004,BANDAR SONO,desa,1274010
1274010008,TUALANG,desa,1274010
1274010011,LUBUK RAYA,desa,1274010
1274010012,PADANG MERBAU,desa,1274010
1274011,TEBING TINGGI KOTA,kecamatan,1274
1274011001,MANDAILING,desa,1274011
1274011002,PASAR GAMBIR,desa,1274011
1274011003,RAMBUNG,desa,1274011
1274011004,TEBING TINGGI LAMA,desa,1274011
1274011005,PASAR BARU,desa,1274011
1274011006,BADAK BEJUANG,desa,1274011
1274011007,BANDAR UTAMA,desa,1274011
1274020,RAMBUTAN,kecamatan,1274
1274020005,RANTAU LABAN,desa,1274020
1274020008,SRI PADANG,desa,1274020
1274020009,KARYA JAYA,desa,1274020
1274020010,LALANG,desa,1274020
1274020011,TANJUNG MARULAK,desa,1274020
1274020012,TANJUNG MARULAK HILIR,desa,1274020
1274020013,MEKAR SENTOSA,desa,1274020
1274021,BAJENIS,kecamatan,1274
1274021001,BULIAN,desa,1274021
1274021002,PELITA,desa,1274021
1274021003,DURIAN,desa,1274021
1274021004,BANDAR SAKTI,desa,1274021
1274021005,TELUK KARANG,desa,1274021
1274021006,PINANG MANCUNG,desa,1274021
1274021007,BEROHOL,desa,1274021
1274030,PADANG HILIR,kecamatan,1274
1274030001,BAGELEN,desa,1274030
1274030002,TEBING TINGGI,desa,1274030
1274030005,TAMBANGAN,desa,1274030
1274030006,SATRIA,desa,1274030
1274030007,DEBLOD SUNDORO,desa,1274030
1274030008,DAMAR SARI,desa,1274030
1274030009,TAMBANGAN HULU,desa,1274030
1275,MEDAN,kota,12
1275010,MEDAN TUNTUNGAN,kecamatan,1275
1275010001,LADANG BAMBU,desa,1275010
1275010002,SIDOMULYO,desa,1275010
1275010003,LAUCIH,desa,1275010
1275010004,NAMO GAJAH,desa,1275010
1275010005,KEMENANGAN TANI,desa,1275010
1275010006,SIMALINGKAR B,desa,1275010
1275010007,SIMPANG SELAYANG,desa,1275010
1275010008,TANJUNG SELAMAT,desa,1275010
1275010009,MANGGA,desa,1275010
1275020,MEDAN JOHOR,kecamatan,1275
1275020001,KWALA BEKALA,desa,1275020
1275020002,GEDUNG JOHOR,desa,1275020
1275020003,KEDAI DURIAN,desa,1275020
1275020004,SUKA MAJU,desa,1275020
1275020005,TITI KUNING,desa,1275020
